subject_id,device_id,state,age,height,weight
c12574be,13,GA,42,56,167
db8af739,19,MP,30,64,175
fa583007,14,WY,48,71,157
da971565,2,VT,30,70,167
aa24b0f2,1,AK,43,55,194
bf8c4710,4,NV,36,63,159
788be63e,6,NJ,28,73,198
730fa00c,18,KS,40,55,187
4c9fe48e,1,PW,50,68,196
d489f5a5,18,MO,46,59,150
6e83f8bc,7,OK,39,75,146
567b2719,15,VA,48,66,182
84d5380c,6,NM,30,56,198
07480c75,10,MA,32,59,136
f781a46c,1,SC,24,55,191
f2a80646,2,LA,42,61,166
76164592,12,NE,41,70,150
5b824bef,4,NY,24,59,196
7ff34fc0,2,AR,30,64,167
68f4b1c3,14,AR,41,65,191
1efd9a24,4,MA,31,66,174
bb3e47ab,19,WA,44,65,165
576c8f00,7,WY,30,67,152
9f1f397f,6,LA,23,71,136
d293015e,1,AL,37,62,181
645e2570,13,CT,42,64,134
17d40e40,16,RI,24,71,138
b7ee8cce,1,ND,20,74,141
6923143e,20,CT,34,66,151
b3b41bdd,3,ID,39,62,192
4bf9d619,8,AZ,24,66,177
35ce8865,2,SD,33,59,194
59b972c6,4,AZ,25,72,159
54aab33e,9,VA,27,69,199
22e6f7b1,16,ID,27,73,172
620c450f,18,AS,48,59,194
066e5794,10,ID,26,62,163
1251d41c,13,MT,20,61,176
e2bf04af,10,WI,27,57,175
56154459,7,FL,34,60,196
960689ec,3,MI,42,70,165
a7c46476,15,CA,23,60,163
142b64a1,1,TX,50,65,158
3018a8b7,16,WA,24,55,188
cc6433f8,11,NM,36,67,159
4c464907,17,AL,25,59,175
7a0d9377,9,ME,47,67,163
b5de3c60,5,AS,31,74,132
66b99055,1,IL,43,70,137
d1c479e9,5,NM,34,60,131
4ee551d8,1,AZ,35,71,141
bc577124,14,WI,23,62,199
f3182cd7,4,WA,41,68,141
89fa342c,15,SC,31,65,143
3727630b,1,CT,34,63,134
a1e9b830,2,OR,35,75,149
16587742,6,WA,45,56,199
14c72b82,2,AS,49,67,158
34aafc45,5,FM,24,66,189
2a7b204f,11,SD,28,73,166
394c6d43,13,ND,35,62,168
df76fa9d,10,NJ,41,58,175
fe6eed5e,9,VT,28,72,157
4c536c19,2,AZ,26,61,168
e34a53c3,20,WA,47,55,165
96171c8a,1,FM,48,73,188
07de6c7a,19,FL,49,60,156
24611076,8,FM,39,60,149
9a3a186c,8,KY,45,55,187
f90617d4,9,HI,27,56,147
1ddeda32,9,NM,35,55,141
4971d45d,9,RI,24,57,196
311a1ef1,16,AL,23,64,174
7983dd40,5,KY,20,72,177
6d33980a,20,WV,47,71,142
fcb9e010,3,WY,37,62,140
c9bf3ebc,13,ND,49,64,144
7514d096,3,VT,24,69,146
0f00da69,12,PW,27,75,187
a0520a4d,18,FM,28,63,175
7f00fc49,9,DE,32,66,196
428310ca,17,MO,45,72,161
11159831,10,MO,29,57,200
be12af2b,15,UT,50,56,145
9668b5d2,11,WI,23,59,148
2239c4c9,18,GU,46,57,141
d0cf33e2,4,VA,20,70,186
3d8916f2,4,AK,48,61,142
a81efa06,15,NE,27,65,200
d222ac9b,9,ID,38,72,194
25e797ef,20,OK,20,60,146
94bb62db,1,WY,20,62,193
e5ceddf8,9,NE,48,57,159
2f0e8dee,5,NM,32,72,187
410a7ed8,19,WV,29,67,150
52720800,13,NV,27,66,182
baf5cb79,10,PW,28,73,200
f7824930,12,TX,36,67,143
9a4e70bd,3,AZ,43,69,191
79f4e07a,4,MS,33,58,185
